text,label
The Defense Radar System during the Deployment phase must support remote diagnostics and firmware updates.,0
The Aerospace Avionics System during the Operations phase must detect and report system faults within 100 milliseconds.,0
The Electrical Power Grid during the Integration phase must achieve a minimum reliability of 99.9% over a 10-year lifecycle.,0
The Aerospace Avionics System during the Retirement phase must withstand wind speeds up to 100 km/h.,0
The Marine Propulsion System during the Testing phase must detect structural cracks as small as 0.5 mm.,0
The Marine Propulsion System during the Deployment phase must process sensor data at a minimum rate of 500 samples per second.,0
The Civil Engineering Structure during the Deployment phase must withstand a load factor of 1.5 times maximum expected stress.,0
The Railway Signaling System during the Integration phase must maintain structural integrity under seismic Zone 4 conditions.,0
The Systems Engineering Integration Platform during the Retirement phase must maintain alignment accuracy within ±0.5 degrees.,0
The Mechanical HVAC System during the Design phase must maintain pressure vessel integrity up to 1.5 bar.,0
The Systems Engineering Integration Platform during the Integration phase must maintain alignment accuracy within ±0.5 degrees.,0
The Civil Engineering Structure during the Testing phase must provide redundancy for all mission-critical subsystems.,0
"The Spacecraft Thermal Control System during the Development phase must ensure emissions remain below limits, if possible.",1
The Marine Propulsion System during the Testing phase must detect structural cracks as small as 0.5 mm.,0
The Automotive Control System during the Design phase must complete data synchronization within 3 minutes.,0
"The Electrical Power Grid during the Retirement phase must achieve 99.9% reliability, which is the most important metric.",0
"The Marine Propulsion System during the Design phase must process sensor data, though it should be user-friendly.",1
The Automotive Control System during the Maintenance phase must complete system startup in under 15 seconds.,0
The Spacecraft Thermal Control System during the Integration phase must maintain vibration levels below 5 mm/s RMS.,0
The Systems Engineering Integration Platform during the Retirement phase must maintain alignment accuracy within ±0.5 degrees.,0
"The Mechanical HVAC System during the Maintenance phase must maintain operational temperature, but this might change if appropriate.",1
"The Electrical Power Grid during the Integration phase must achieve reliability, but not limited to that metric.",0
The Automotive Control System during the Deployment phase must complete data synchronization within 3 minutes.,0
"The Railway Signaling System during the Operations phase must operate continuously, though this is the most efficient approach.",0
"The Railway Signaling System during the Integration phase must maintain structural integrity, though this requirement is almost always flexible.",1
"Each SKA1_Low pulsar timing and dynamic spectrum measurement shall be directly traceable to the time at the common delay centre of the SKA1_Low telescope, with an accuracy of better than 1 nanoseconds (TBC).",0
SKA1_Low shall retain time resolution in the Pulsar Search such that any increase in sampling interval at high dispersion measure trials does not degrade the signal-to-noise ratio below 95% relative to the configured time resolution.,0
SKA1_Low Pulsar timing subarray shall be set independently with a value between 10 seconds and 300 minutes with a granularity of 10 seconds.,0
"The SKA1_Low, when forming beams for the Pulsar Search, shall achieve a signal-to-noise of more than 97% relative to an ideal analogue beam-forming for the same inputs.",0
"The spectral distortion of pulsar search beams, compared to an ideal analogue
beamformer provided with the same inputs, shall be less than
• -40 dB in amplitude
• 0.01 radians in phase.",0
"SKA1_Low, when commanded, shall form multiple Pulsar Search beams at the same sky coordinates, within a single subarray.",0
"SKA1_Low Configurability SKA1_Low, when commanded, shall change the CSP, TM, Test pointing, centre frequency, and bandwidth of each VLBI tied-array beam SADT independently, on scan boundaries.",0
"SKA1_Low, when commanded, shall perform the Pulsar Search on a contiguous bandwidth located anywhere within the SKA1_Low band.",0
"SKA1_Low subarray shall be independently configurable, with allowed values Inspection being an integer multiple of 0.15 seconds (¬±1%) to a maximum of 36 seconds (¬±1%).",0
"SKA1_Low, when performing the Pulsar Search, shall generate Pulsar Candidates and Non-imaging Transient Candidates as defined in TBD.",0
"SKA1_Low, when commanded, shall perform the Pulsar Search for a Pulsar Search beam with a configurable bandwidth from the full pulsar search bandwidth for that beam, down to 0.15 times that bandwidth.",0
"SKA1_Low, when commanded, shall simultaneously form and process data from up to a total of16 dual-polarization pulsar timing beams for pulsar timing and dynamic spectrum processing.",0
"The maximum noise leakage from a non adjacent channel into SKA1_Low zoom
window channels from all frequencies outside the window shall be less than
60dB.",0
"SKA1_Low VLBI beams sampling rate SKA1_Low, when forming VLBI beams,
shall output them with a sampling rate selectable between N",0
SKA1_Mid shall flag both polarizations of any beamforming input for which one polarization is flagged (or marked invalid).,0
The SKA1_Low shall have an absolute flux density scale with an accuracy better than 5% across the band.,0
"When generating zoom windows, SKA1_Low shall on command provide, for each zoom window, 16384 (+/- 10%) linearly spaced frequency channels fully covering the zoom windows.",0
"The SKA1_Low, when commanded, shall time Pulsars with dispersion measures between 0 to 3000 pc cm -3 such that residual dispersive smearing is less than 500 ns or as limited by the precision of the supplied dispersion measure.",1
SKA1_Low shall have a continuous Pulsar Search bandwidth of no less than 96 MHz per beam.,0
"When commanded, SKA1_Low shall archive all or part of the transient buffer SADT based on the results of single-pulse searches, independently for each subarray.",1
SKA1_Low shall perform observations of the Sun. During these observations the instrument response shall be linear.,0
"The spectral and temporal response of the individual SKA1_Low visibility
spectra frequency channels shall not change by more than 1% as a function of
time, unless explicitly commanded to do so.",1
SKA1_Low shall restrict the choices of the sampling rate and bandwidth for Pulsar Search to integer sub-multiples of a the fundamental sampling rate.,0
"For all stations belonging to a given subarray,SKA1_Low, when commanded,
shall deliver full-polarisation autocorrelation spectra, with frequency coverage,
spectral resolution, and spectral and temporal response matching that of the
cross-correlation spectra from that subarray.",0
