text,label
The Radar shall detect targets with RCS of 1 m² at a range of 48 km with probability >=0.9.,0
The Vehicle shall provide excellent mobility in rough terrain.,1
The System shall authenticate users within 1.7 seconds of credential submission.,0
The System shall maintain high availability during operations.,1
The UAV shall operate continuously for 8.5 hours at 65% payload.,0
The UAV shall operate for long mission durations.,1
The Cooling Unit shall maintain internal temperature below 43°C at 50°C ambient.,0
The Cooling Unit shall maintain safe operating temperatures.,1
The Communication Module shall maintain BER 10^-6 at 18 km LOS.,0
The Communication Module shall maintain very low error rate.,1
The System shall reboot within 18 seconds after controlled shutdown.,0
The System shall reboot quickly after shutdown.,1
The Power Unit shall supply 28V DC ±0.4V at 32A continuous load.,0
The Power Unit shall provide stable power output.,1
The Drone shall hover within ±1.3 meters in wind speeds up to 22 knots.,0
The Drone shall hover precisely in adverse conditions.,1
The Navigation System shall update position at intervals 450 ms.,0
The Navigation System shall update frequently.,1
The Vehicle shall accelerate 0-80 km/h within 10.8 seconds.,0
The Vehicle shall accelerate rapidly under load.,1
The System shall store 2.2 TB of encrypted mission data.,0
The System shall store substantial mission data.,1
The Radar shall rotate at 27 rpm ±1 rpm.,0
The Radar shall rotate at optimal scanning speed.,1
The Battery shall recharge to 85% capacity within 92 minutes.,0
The Battery shall recharge in minimal time.,1
The Software shall respond to operator input within 135 ms at 80% CPU load.,0
The Software shall be responsive.,1
The System shall withstand vibration of 4.2 g RMS between 20-350 Hz.,0
The System shall withstand heavy vibration.,1
The Antenna shall provide gain of 22 dBi ±1 dB across 3-5 GHz.,0
The Antenna shall provide strong signal gain.,1
The Vehicle shall maintain braking distance 13.5 m from 60 km/h.,0
The Vehicle shall stop within a safe distance.,1
The System shall support 180 concurrent encrypted sessions.,0
The System shall support many simultaneous users.,1
The Drone shall climb at 4.8 m/s ±0.4 m/s.,0
The Drone shall climb quickly.,1
"The System shall maintain MTBF >1,150 operational hours.",0
The System shall exhibit high durability.,1
The Communication Link shall maintain latency 58 ms at 75% bandwidth utilization.,0
The Communication Link shall maintain minimal delay.,1
The Radar shall detect maritime targets at 55 km with RCS 2 m².,0
The Radar shall detect distant maritime targets.,1
The System shall log failed authentication attempts within 1 second.,0
The System shall log failed authentication attempts routinely.,1
"The UAV shall operate at altitudes up to 4,800 meters AMSL.",0
The UAV shall operate at high altitude.,1
"The Vehicle shall support payload capacity of 2,100 kg.",0
The Vehicle shall carry heavy loads.,1
The System shall maintain humidity tolerance 5%-95% non-condensing.,0
The System shall operate in humid environments.,1
The Radar shall update tracks at 9 Hz ±0.5 Hz.,0
The Radar shall update tracks frequently.,1
The Cooling System shall reduce temperature by 14°C within 3 minutes.,0
The Cooling System shall cool equipment effectively.,1
The System shall process 950 transactions per minute.,0
The System shall process transactions efficiently.,1
