text,label
The system shall not allow unauthorized access.,1
The module shall not store user passwords in plain text.,1
The operator shall not bypass the safety interlock.,1
The device must not exceed 60°C during operation.,1
The software shall not overwrite existing configuration files.,1
The controller shall not initiate a restart without user approval.,1
The system shall not expose internal debug logs to end users.,1
The application must not transmit data without encryption.,1
The robot shall not move while the access door is open.,1
The engine shall not operate if oil pressure is below threshold.,1
The user interface shall not display hidden administrative options.,1
The firmware shall not accept unsigned updates.,1
The module shall not generate duplicate transaction IDs.,1
The system shall not allow simultaneous logins from multiple locations.,1
The operator shall not modify calibration parameters.,1
The device shall not activate unless all sensors are online.,1
The software must not delete logs older than 30 days.,1
The system shall not process incomplete data packets.,1
The controller shall not enable manual override during diagnostics.,1
The application shall not store temporary files after shutdown.,1
The module must not accept malformed input strings.,1
The system shall not allow password reuse.,1
The operator shall not disable mandatory alerts.,1
The device shall not enter standby mode during active tasks.,1
The system shall never expose encryption keys.,1
The system shall allow authorized users to access the dashboard.,0
The module shall store configuration settings securely.,0
The operator shall initiate the shutdown sequence.,0
The device shall maintain a temperature below 60°C.,0
The software shall create a backup before applying updates.,0
The controller shall restart automatically after a power failure.,0
The system shall display diagnostic results to the operator.,0
The application shall encrypt all transmitted data.,0
The robot shall stop when the emergency button is pressed.,0
The engine shall adjust fuel flow based on load.,0
The user interface shall highlight mandatory fields.,0
The firmware shall verify update signatures.,0
The module shall generate unique transaction IDs.,0
The system shall log all authentication attempts.,0
The operator shall confirm calibration changes.,0
The device shall activate when all sensors are online.,0
The software shall archive logs older than 30 days.,0
The system shall process complete data packets.,0
The controller shall allow manual override after diagnostics.,0
The application shall remove temporary files on shutdown.,0
The module shall validate all input strings.,0
The system shall enforce password complexity rules.,0
The operator shall acknowledge critical alerts.,0
The device shall enter standby mode after inactivity.,0
The system shall protect encryption keys using hardware security modules.,0
The system shall have environmental temperature 20 +/- 2 degree celcius.,0
